Topic_Text_A,Topic_Text_B,Category
Sports Article #1,Training and nutrition are crucial for professional athletes.,Sports
AI Article #2,Ethical concerns surrounding the use of AI in surveillance.,Artificial Intelligence
Health Article #3,Nutrition and regular exercise promote a healthy lifestyle.,Healthcare
Health Article #4,Mental health awareness is increasing in modern society.,Healthcare
Politics Article #5,International relations are shifting with new alliances.,Politics
Health Article #6,Mental health awareness is increasing in modern society.,Healthcare
AI Article #7,The rise of artificial intelligence in everyday life.,Artificial Intelligence
Politics Article #8,International relations are shifting with new alliances.,Politics
Politics Article #9,Election reforms are being debated in many democracies.,Politics
ML Article #10,Supervised learning vs unsupervised learning: Key differences.,Artificial Intelligence
Sports Article #11,Training and nutrition are crucial for professional athletes.,Sports
Sports Article #12,The FIFA World Cup attracts millions of viewers globally.,Sports
Politics Article #13,Election reforms are being debated in many democracies.,Politics
AI Article #14,Ethical concerns surrounding the use of AI in surveillance.,Artificial Intelligence
Politics Article #15,International relations are shifting with new alliances.,Politics
Sports Article #16,The FIFA World Cup attracts millions of viewers globally.,Sports
Politics Article #17,Election reforms are being debated in many democracies.,Politics
Sports Article #18,Training and nutrition are crucial for professional athletes.,Sports
Sports Article #19,Training and nutrition are crucial for professional athletes.,Sports
ML Article #20,Supervised learning vs unsupervised learning: Key differences.,Artificial Intelligence
ML Article #21,Applications of machine learning in recommendation systems.,Artificial Intelligence
Politics Article #22,The impact of political stability on economic growth.,Politics
AI Article #23,AI is transforming industries such as finance and healthcare.,Artificial Intelligence
Health Article #24,Nutrition and regular exercise promote a healthy lifestyle.,Healthcare
ML Article #25,Applications of machine learning in recommendation systems.,Artificial Intelligence
Politics Article #26,The impact of political stability on economic growth.,Politics
AI Article #27,AI is transforming industries such as finance and healthcare.,Artificial Intelligence
Sports Article #28,Training and nutrition are crucial for professional athletes.,Sports
Politics Article #29,Election reforms are being debated in many democracies.,Politics
ML Article #30,Supervised learning vs unsupervised learning: Key differences.,Artificial Intelligence
Politics Article #31,International relations are shifting with new alliances.,Politics
AI Article #32,Ethical concerns surrounding the use of AI in surveillance.,Artificial Intelligence
ML Article #33,Machine learning algorithms can identify patterns in large datasets.,Artificial Intelligence
Sports Article #34,The FIFA World Cup attracts millions of viewers globally.,Sports
Health Article #35,Mental health awareness is increasing in modern society.,Healthcare
Politics Article #36,The impact of political stability on economic growth.,Politics
Sports Article #37,Training and nutrition are crucial for professional athletes.,Sports
Health Article #38,Nutrition and regular exercise promote a healthy lifestyle.,Healthcare
Sports Article #39,Training and nutrition are crucial for professional athletes.,Sports
Health Article #40,Mental health awareness is increasing in modern society.,Healthcare
ML Article #41,Machine learning algorithms can identify patterns in large datasets.,Artificial Intelligence
